province_code,station_code,azimuth,district_name,province_name,cell_code,x_,y_
TNN,18a996c99d43a0f7e49b97d8042ba8288d78d6f622eee7154403db87b814ecd8,190.0,Phường Phúc Thuận,Tỉnh Thái Nguyên,abcxy2751494.72jhjhdks0803873310.0,21.43683,105.784
TNN,18a996c99d43a0f7e49b97d8042ba8288d78d6f622eee7154403db87b814ecd8,350.0,Phường Phúc Thuận,Tỉnh Thái Nguyên,abcxy2751497.65jhjhdks0803873310.0,21.43683,105.784
TNN,83f411423d761fbbb37d7da18624cff5bc7a0da2d61039ed6cf22b2058cc3cfa,150.0,Xã Bạch Thông,Tỉnh Thái Nguyên,abcxy1714858.89jhjhdks0802414070.0,22.12822,105.78027
TNN,83f411423d761fbbb37d7da18624cff5bc7a0da2d61039ed6cf22b2058cc3cfa,30.0,Xã Bạch Thông,Tỉnh Thái Nguyên,abcxy1714861.82jhjhdks0802414070.0,22.12822,105.78027
TNN,83f411423d761fbbb37d7da18624cff5bc7a0da2d61039ed6cf22b2058cc3cfa,30.0,Xã Bạch Thông,Tỉnh Thái Nguyên,abcxy1714864.75jhjhdks0802414080.0,22.12822,105.78027
TNN,83f411423d761fbbb37d7da18624cff5bc7a0da2d61039ed6cf22b2058cc3cfa,150.0,Xã Bạch Thông,Tỉnh Thái Nguyên,abcxy1714867.68jhjhdks0802414080.0,22.12822,105.78027
TNN,83f411423d761fbbb37d7da18624cff5bc7a0da2d61039ed6cf22b2058cc3cfa,150.0,Xã Bạch Thông,Tỉnh Thái Nguyên,abcxy1714870.6jhjhdks0802414080.0,22.12822,105.78027
TNN,83f411423d761fbbb37d7da18624cff5bc7a0da2d61039ed6cf22b2058cc3cfa,30.0,Xã Bạch Thông,Tỉnh Thái Nguyên,abcxy1714873.53jhjhdks0802414090.0,22.12822,105.78027
TNN,2d57ca3d02d91405dd7333b7a6f544a6e85ace2a944209dde5cc59d2e191230c,170.0,Phường Bắc Kạn,Tỉnh Thái Nguyên,abcxy1714876.46jhjhdks0802414090.0,22.14173,105.8281
TNN,2d57ca3d02d91405dd7333b7a6f544a6e85ace2a944209dde5cc59d2e191230c,320.0,Phường Bắc Kạn,Tỉnh Thái Nguyên,abcxy1714879.39jhjhdks0802414100.0,22.14173,105.8281
TNN,2d57ca3d02d91405dd7333b7a6f544a6e85ace2a944209dde5cc59d2e191230c,75.0,Phường Bắc Kạn,Tỉnh Thái Nguyên,abcxy1714882.32jhjhdks0802414100.0,22.14173,105.8281
TNN,2d57ca3d02d91405dd7333b7a6f544a6e85ace2a944209dde5cc59d2e191230c,75.0,Phường Bắc Kạn,Tỉnh Thái Nguyên,abcxy1714885.25jhjhdks0802414100.0,22.14173,105.8281
TNN,2d57ca3d02d91405dd7333b7a6f544a6e85ace2a944209dde5cc59d2e191230c,320.0,Phường Bắc Kạn,Tỉnh Thái Nguyên,abcxy1714888.18jhjhdks0802414110.0,22.14173,105.8281
TNN,2d57ca3d02d91405dd7333b7a6f544a6e85ace2a944209dde5cc59d2e191230c,170.0,Phường Bắc Kạn,Tỉnh Thái Nguyên,abcxy1714891.11jhjhdks0802414110.0,22.14173,105.8281
TNN,2d57ca3d02d91405dd7333b7a6f544a6e85ace2a944209dde5cc59d2e191230c,75.0,Phường Bắc Kạn,Tỉnh Thái Nguyên,abcxy1714894.04jhjhdks0802414120.0,22.14173,105.8281
TNN,2d57ca3d02d91405dd7333b7a6f544a6e85ace2a944209dde5cc59d2e191230c,170.0,Phường Bắc Kạn,Tỉnh Thái Nguyên,abcxy1714896.97jhjhdks0802414120.0,22.14173,105.8281
TNN,2d57ca3d02d91405dd7333b7a6f544a6e85ace2a944209dde5cc59d2e191230c,320.0,Phường Bắc Kạn,Tỉnh Thái Nguyên,abcxy1714899.89jhjhdks0802414120.0,22.14173,105.8281
TNN,d436fc9f22297a581392a6187242b58a3dfa29ef74fb0999f9461a0971886378,10.0,Xã Đồng Hỷ,Tỉnh Thái Nguyên,abcxy1717840.63jhjhdks0802418260.0,21.67642,105.85521
TNN,d436fc9f22297a581392a6187242b58a3dfa29ef74fb0999f9461a0971886378,10.0,Xã Đồng Hỷ,Tỉnh Thái Nguyên,abcxy1717843.56jhjhdks0802418270.0,21.67642,105.85521
TNN,d436fc9f22297a581392a6187242b58a3dfa29ef74fb0999f9461a0971886378,10.0,Xã Đồng Hỷ,Tỉnh Thái Nguyên,abcxy1717846.49jhjhdks0802418270.0,21.67642,105.85521
TNN,d436fc9f22297a581392a6187242b58a3dfa29ef74fb0999f9461a0971886378,120.0,Xã Đồng Hỷ,Tỉnh Thái Nguyên,abcxy1717849.42jhjhdks0802418280.0,21.67642,105.85521
TNN,d436fc9f22297a581392a6187242b58a3dfa29ef74fb0999f9461a0971886378,120.0,Xã Đồng Hỷ,Tỉnh Thái Nguyên,abcxy1717852.35jhjhdks0802418280.0,21.67642,105.85521
TNN,d436fc9f22297a581392a6187242b58a3dfa29ef74fb0999f9461a0971886378,120.0,Xã Đồng Hỷ,Tỉnh Thái Nguyên,abcxy1717855.28jhjhdks0802418280.0,21.67642,105.85521
TNN,d436fc9f22297a581392a6187242b58a3dfa29ef74fb0999f9461a0971886378,240.0,Xã Đồng Hỷ,Tỉnh Thái Nguyên,abcxy1717858.2jhjhdks0802418290.0,21.67642,105.85521
TNN,d436fc9f22297a581392a6187242b58a3dfa29ef74fb0999f9461a0971886378,240.0,Xã Đồng Hỷ,Tỉnh Thái Nguyên,abcxy1717861.13jhjhdks0802418290.0,21.67642,105.85521
TNN,d436fc9f22297a581392a6187242b58a3dfa29ef74fb0999f9461a0971886378,320.0,Xã Đồng Hỷ,Tỉnh Thái Nguyên,abcxy1717864.06jhjhdks0802418300.0,21.67642,105.85521
TNN,d436fc9f22297a581392a6187242b58a3dfa29ef74fb0999f9461a0971886378,320.0,Xã Đồng Hỷ,Tỉnh Thái Nguyên,abcxy1717866.99jhjhdks0802418300.0,21.67642,105.85521
TNN,b458d1c9b828ae184231261a180ae728bc0d47397e704b1cfd28d8d5786871dd,100.0,Xã Trại Cau,Tỉnh Thái Nguyên,abcxy1717869.92jhjhdks0802418310.0,21.58913,105.9448
